PDB, Chain, CATH, Length, Interaction Energy, Min. F(k), Single/Multi, Suggested K, FINAL
1nyn, A, 1, 111 , 0.027, 0.731 , Single , 2, 
1ax3, A, 1, 162 , 0.543, 0.887 , Single , 1, 
1ar1, A, 1, 529 , 0.246, 0.816 , Single , 1, 
1bnk, A, 1, 200 , 0.37, 0.900 , Single , 1, 
1sig, A, 1, 305 , 0.193, 0.697 , Multi , 3, 
1a3p, A, 1, 43 , 0.349, 0.646 , Single , 2, 
1fs1, A, 1, 41 , 0.683, 0.832 , Single , 3, 
1a71, A, 2, 374 , 0.206, 0.739 , Single , 2, 
1ubd, C, 4, 114 , 0.061, 0.658 , Single , 4, 
1dbu, A, 1, 150 , 0.287, 0.857 , Single , 1, 
1kmx, A, 1, 55 , 0.2, 0.538 , Single , 2, 
1ppr, M, 2, 312 , 0.221, 0.795 , Single , 1, 
1n2m, A, 1, 163 , 0.282, 0.771 , Single , 1, 
1skz, A, 2, 104 , 0.231, 0.764 , Single , 1, 
1a8p, A, 2, 257 , 0.195, 0.800 , Multi , 1, 
1a5r, A, 1, 103 , 0.019, 0.601 , Single , 2, 
2oux, A, 2, 246 , 0.093, 0.720 , Multi , 2, 
1nyq, A, 4, 642 , 0.016, 0.737 , Multi , 2, 
1cm2, A, 1, 85 , 0.588, 0.845 , Single , 1, 
1ajw, A, 1, 145 , 0.283, 0.691 , Single , 2, 
1k6d, A, 1, 217 , 0.29, 0.814 , Single , 3, 
1gyd, B, 1, 315 , 0.283, 0.933 , Single , 3, 
1aiw, A, 1, 62 , 0.468, 0.794 , Single , 3, 
1afc, A, 1, 127 , 0.417, 0.917 , Single , 6, 
1ab1, A, 1, 49 , 0.449, 0.775 , Single , 1, 
1a07, A, 1, 105 , 0.381, 0.838 , Single , 1, 
1i3p, A, 1, 274 , 0.215, 0.781 , Single , 1, 
1vr0, A, 1, 229 , 0.288, 0.838 , Single , 1, 
1aal, A, 1, 58 , 0.414, 0.694 , Single , 2, 
2o5h, A, 1, 133 , 0.353, 0.874 , Single , 1, 
1q60, A, 1, 99 , 0.212, 0.744 , Single , 2, 
1hyn, P, 1, 293 , 0.266, 0.922 , Single , 1, 
1gef, A, 1, 120 , 0.483, 0.881 , Single , 3, 
1bo9, A, 1, 73 , 0.493, 0.862 , Single , 1, 
16vp, A, 1, 311 , 0.167, 0.618 , Multi , 2, 
2guk, A, 1, 112 , 0.143, 0.778 , Single , 1, 
1gu9, A, 1, 170 , 0.306, 0.796 , Single , 1, 
1axj, A, 1, 122 , 0.254, 0.814 , Single , 1, 
1tg7, A, 5, 971 , 0.146, 0.699 , Multi , 2, 
1clc, A, 2, 541 , 0.261, 0.788 , Single , 1, 
1udz, A, 1, 179 , 0.257, 0.809 , Single , 1, 
1a6a, A, 2, 176 , 0.182, 0.734 , Multi , 2, 
1b7b, A, 1, 307 , 0.283, 0.879 , Single , 1, 
1a23, A, 1, 189 , 0.18, 0.717 , Multi , 2, 
1pg0, A, 2, 492 , 0.169, 0.665 , Multi , 2, 
1t23, A, 1, 93 , 0.366, 0.854 , Single , 3, 
1pi1, A, 1, 185 , 0.335, 0.873 , Single , 3, 
1q7s, A, 1, 118 , 0.415, 0.791 , Single , 1, 
1jo6, A, 1, 45 , 0.156, 0.528 , Single , 2, 
1x9y, A, 2, 346 , 0.223, 0.801 , Single , 1, 
1lbu, A, 2, 214 , 0.285, 0.769 , Single , 1, 
2hq4, A, 1, 158 , 0.272, 0.709 , Single , 2, 
1u4h, A, 1, 181 , 0.32, 0.781 , Single , 1, 
1v30, A, 1, 118 , 0.237, 0.861 , Single , 1, 
1r0d, A, 1, 189 , 0.28, 0.558 , Single , 2, 
2exe, A, 1, 264 , 0.216, 0.867 , Single , 1, 
1ogp, A, 2, 388 , 0.183, 0.781 , Multi , 1, 
1yem, A, 1, 163 , 0.239, 0.766 , Single , 1, 
1tvs, A, 1, 75 , 0.12, 0.671 , Single , 2, 
1m21, A, 1, 487 , 0.275, 0.883 , Single , 3, 
