Chain:  1ut9A ,  Domains (CATH):  2 ,  Domain 1 :  208 - 305 ,  Domain 2 :  306 - 816 ,  Length:  605 ,  IS-Sum_2:  5.07 ,  IS-Sum_3:  17.1 ,  IS-Sum_4:  26.8 ,  Assigned Domain:  2
Chain:  1yrrA ,  Domains (CATH):  2 ,  Domain 1 :  1 - 54    345 - 382 ,  Domain 2 :  55 - 344 ,  Length:  381 ,  IS-Sum_2:  7.23 ,  IS-Sum_3:  13.5 ,  IS-Sum_4:  30.6 ,  Assigned Domain:  2
Chain:  2hrcA ,  Domains (CATH):  2 ,  Domain 1 :  65 - 227    371 - 423 ,  Domain 2 :  228 - 370 ,  Length:  380 ,  IS-Sum_2:  6.24 ,  IS-Sum_3:  18.3 ,  IS-Sum_4:  28.3 ,  Assigned Domain:  2
Chain:  1fxjA ,  Domains (CATH):  2 ,  Domain 1 :  3 - 236 ,  Domain 2 :  237 - 329 ,  Length:  327 ,  IS-Sum_2:  2.66 ,  IS-Sum_3:  10.5 ,  IS-Sum_4:  25.6 ,  Assigned Domain:  2
Chain:  1gcyA ,  Domains (CATH):  2 ,  Domain 1 :  1 - 360 ,  Domain 2 :  362 - 417 ,  Length:  415 ,  IS-Sum_2:  8.89 ,  IS-Sum_3:  15.9 ,  IS-Sum_4:  30.3 ,  Assigned Domain:  2
Chain:  2cx1A ,  Domains (CATH):  2 ,  Domain 1 :  0 - 87    171 - 183 ,  Domain 2 :  88 - 170 ,  Length:  181 ,  IS-Sum_2:  5.73 ,  IS-Sum_3:  12.1 ,  IS-Sum_4:  41.2 ,  Assigned Domain:  2
Chain:  1x6oA ,  Domains (CATH):  2 ,  Domain 1 :  19 - 86 ,  Domain 2 :  87 - 165 ,  Length:  143 ,  IS-Sum_2:  5.65 ,  IS-Sum_3:  27.5 ,  IS-Sum_4:  50.6 ,  Assigned Domain:  2
Chain:  1eg5A ,  Domains (CATH):  2 ,  Domain 1 :  2 - 13    258 - 365 ,  Domain 2 :  14 - 257 ,  Length:  353 ,  IS-Sum_2:  5.38 ,  IS-Sum_3:  16.0 ,  IS-Sum_4:  37.6 ,  Assigned Domain:  2
Chain:  1vnsA ,  Domains (CATH):  2 ,  Domain 1 :  4 - 178 ,  Domain 2 :  179 - 577 ,  Length:  574 ,  IS-Sum_2:  7.71 ,  IS-Sum_3:  16.3 ,  IS-Sum_4:  31.3 ,  Assigned Domain:  2
Chain:  1nvrA ,  Domains (CATH):  2 ,  Domain 1 :  3 - 97 ,  Domain 2 :  98 - 273 ,  Length:  264 ,  IS-Sum_2:  4.97 ,  IS-Sum_3:  19.9 ,  IS-Sum_4:  37.7 ,  Assigned Domain:  2
